Home Ownership;Annual Income;Years in current job;Tax Liens;Number of Open Accounts;Years of Credit History;Maximum Open Credit;Number of Credit Problems;Months since last delinquent;Bankruptcies;Purpose;Term;Current Loan Amount;Current Credit Balance;Monthly Debt;Credit Score;Credit Default
Rent;-0.8133486477043051;10+ years;-0.11095342154390785;13.0;23.7;339724.0;-0.3409788778582933;2.160960229420335;0.0;debt consolidation;Long Term;246004.0;198341.0;-0.30558975726544335;-0.27386065593775255;1
Rent;0.03312159659302319;10+ years;-0.11095342154390785;20.0;15.0;763422.0;-0.3409788778582933;-1.5797805976079917;0.0;debt consolidation;Short Term;241230.0;306584.0;-0.779848892888721;-0.23840064778083386;0
Own Home;-0.20734605675401982;4 years;-0.11095342154390785;22.0;10.9;625042.0;-0.3409788778582933;-0.35553814512599397;0.0;debt consolidation;Long Term;326810.0;300675.0;-0.37485037360646656;-0.23144770500496747;1
Home Mortgage;-0.20734605675401982;10+ years;-0.11095342154390785;10.0;9.4;348678.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;191136.0;165927.0;-0.5268715569312548;-0.23144770500496747;1
Have Mortgage;0.011854383229240643;10+ years;-0.11095342154390785;17.0;15.4;380052288.0;1.6647792271904904;0.1205561419503385;0.0;take a trip;Short Term;33110.0;656450.0;1.3451774992790166;-0.23283829356014074;0
Home Mortgage;-0.20734605675401982;10+ years;-0.11095342154390785;10.0;21.4;1104554.0;1.6647792271904904;-0.08348426679666114;1.0;debt consolidation;Long Term;774092.0;595251.0;0.8873530861773378;-0.23144770500496747;0
Home Mortgage;0.5235480563585493;10+ years;-0.11095342154390785;6.0;27.3;263604.0;-0.3409788778582933;-1.8518344759373246;0.0;debt consolidation;Short Term;99999999.0;121353.0;0.43707522933557674;-0.2370100592256606;0
Own Home;-0.20734605675401982;5 years;-0.11095342154390785;18.0;18.0;1447468.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;215490.0;612541.0;0.4800067493919979;-0.23144770500496747;0
Home Mortgage;-0.20734605675401982;8 years;-0.11095342154390785;14.0;18.7;252670.0;-0.3409788778582933;-0.28752467554366073;0.0;home improvements;Long Term;323796.0;94696.0;0.5610064532484488;-0.23144770500496747;1
Rent;-0.20734605675401982;5 years;-0.11095342154390785;8.0;17.0;181742.0;-0.3409788778582933;-1.3757401888609921;0.0;debt consolidation;Short Term;355344.0;108300.0;0.05848965696303459;-0.23144770500496747;1
Rent;-0.8713501386964394;3 years;-0.11095342154390785;6.0;22.2;279642.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;220308.0;181127.0;-0.7492434147234989;-0.24187711916876709;0
Home Mortgage;0.2595282824268215;3 years;-0.11095342154390785;12.0;10.4;900878.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;132154.0;242744.0;0.176215934617752;-0.22379946795151442;1
Rent;-0.5401390271478496;3 years;-0.11095342154390785;8.0;9.5;564168.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;265320.0;183198.0;-0.43413276555937624;-0.22240887939634113;0
Home Mortgage;1.2574552339382423;10+ years;-0.11095342154390785;19.0;34.4;1685794.0;-0.3409788778582933;-1.7158075367726582;0.0;debt consolidation;Long Term;768922.0;267881.0;-0.3710770954765077;-0.24813476766704684;0
Home Mortgage;-0.20734605675401982;10+ years;-0.11095342154390785;7.0;17.6;293766.0;1.6647792271904904;2.569041046914334;1.0;debt consolidation;Short Term;175516.0;149948.0;-1.2198131228419278;-0.23144770500496747;1
Rent;-0.20734605675401982;6 years;-0.11095342154390785;7.0;18.0;89100.0;-0.3409788778582933;-1.3757401888609921;0.0;small business;Long Term;130328.0;39235.0;0.0030643937651939845;-0.23144770500496747;0
Rent;0.258599254216125;10+ years;-0.11095342154390785;7.0;19.2;458590.0;-0.3409788778582933;-0.08348426679666114;0.0;home improvements;Short Term;468138.0;2774.0;-0.45694013558935;-0.21962770228599457;0
Rent;-0.80049290597791;2 years;-0.11095342154390785;7.0;16.3;37290.0;1.6647792271904904;-0.08348426679666114;0.0;debt consolidation;Long Term;71258.0;27569.0;-0.47983135624443396;-0.23770535350324723;1
Home Mortgage;-0.4393269118519973;;-0.11095342154390785;17.0;21.2;1132054.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;207812.0;294291.0;0.6010870520511232;-0.22588535078427432;0
Rent;-0.20734605675401982;< 1 year;-0.11095342154390785;9.0;10.7;642092.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;312026.0;296685.0;-0.4451171974488122;-0.23144770500496747;1
Home Mortgage;0.40272417122688275;;-0.11095342154390785;10.0;17.3;697114.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;230362.0;260680.0;-1.0173977138259107;-0.24326770772394035;0
Home Mortgage;-0.606326009942337;1 year;-0.11095342154390785;15.0;12.9;239800.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;99999999.0;130891.0;-0.5487565700850163;-0.2523065333325667;0
Home Mortgage;0.4566831340589591;6 years;-0.11095342154390785;8.0;16.0;233420.0;-0.3409788778582933;1.8889063510910018;0.0;debt consolidation;Long Term;333564.0;122569.0;0.4724601931320801;-0.24952535622222013;0
Rent;-0.9931532697799212;1 year;-0.11095342154390785;7.0;16.6;197120.0;-0.3409788778582933;1.4128120640146695;0.0;debt consolidation;Short Term;177166.0;114741.0;-0.47320715686072834;-0.2286665278946209;1
Rent;-0.20734605675401982;< 1 year;-0.11095342154390785;10.0;15.6;697642.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;156508.0;398259.0;0.8185955735869758;-0.23144770500496747;0
Rent;-0.05968078899439155;10+ years;-0.11095342154390785;8.0;13.3;362934.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;318582.0;204991.0;-0.15818035832171598;-0.22449476222910106;1
Home Mortgage;-0.20734605675401982;10+ years;-0.11095342154390785;11.0;11.3;693418.0;1.6647792271904904;-0.08348426679666114;1.0;debt consolidation;Short Term;266398.0;147915.0;0.2638398378579085;-0.23144770500496747;0
Rent;-0.07394262747211112;< 1 year;-0.11095342154390785;7.0;15.8;235510.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;99999999.0;171874.0;-1.101080637685888;-0.2203229965635812;0
Rent;1.1001481598838176;4 years;-0.11095342154390785;10.0;22.2;660374.0;-0.3409788778582933;-1.3757401888609921;0.0;debt consolidation;Short Term;482152.0;494475.0;1.7813684511022645;-0.22310417367392776;0
Home Mortgage;0.11000495824580023;2 years;-0.11095342154390785;12.0;17.5;700062.0;-0.3409788778582933;-0.8316324322023264;0.0;other;Long Term;525998.0;174135.0;-0.7541906016050005;3.758846154064764;1
Home Mortgage;-0.9400228996763039;6 years;-0.11095342154390785;5.0;16.3;96998.0;-0.3409788778582933;-0.08348426679666114;0.0;buy a car;Short Term;148632.0;29982.0;-0.990817065665978;-0.22240887939634113;0
Rent;-0.20734605675401982;10+ years;-0.11095342154390785;8.0;13.1;797874.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;308616.0;360392.0;1.4016089699781797;-0.23144770500496747;0
Rent;-0.2448587093697118;10+ years;-0.11095342154390785;9.0;16.0;778448.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;462000.0;414808.0;0.13714154331639994;-0.2356194706704873;0
Home Mortgage;0.40485842522442883;8 years;-0.11095342154390785;9.0;12.1;862422.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;351670.0;155667.0;-1.1354593939810689;-0.2404865306135938;1
Home Mortgage;0.14515737702891188;< 1 year;-0.11095342154390785;10.0;21.2;1643906.0;-0.3409788778582933;2.3650006381673343;0.0;debt consolidation;Long Term;443124.0;782268.0;0.8529743298821568;-0.271079478827406;0
Own Home;-0.20734605675401982;10+ years;-0.11095342154390785;17.0;32.5;2322650.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;448184.0;136401.0;0.9228219005989514;-0.23144770500496747;0
Rent;-0.683209371595114;5 years;-0.11095342154390785;12.0;15.7;632170.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;99999999.0;251693.0;-0.8127183379319184;-0.22101829084116786;0
Rent;-0.2120163066780618;3 years;-0.11095342154390785;19.0;12.7;276540.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;175340.0;92663.0;-0.5182349425449044;-0.23283829356014074;1
Rent;-0.20734605675401982;1 year;-0.11095342154390785;7.0;9.0;415250.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;174438.0;185402.0;-0.8870938424046637;-0.23144770500496747;0
Rent;-0.4486171939589625;8 years;-0.11095342154390785;11.0;18.1;227876.0;5.676295437288058;1.2087716552676697;3.0;debt consolidation;Short Term;108504.0;104899.0;-0.6677406071163867;-0.23283829356014074;1
Rent;-0.20734605675401982;10+ years;-0.11095342154390785;6.0;36.8;263934.0;-0.3409788778582933;2.501027577332001;0.0;debt consolidation;Long Term;111848.0;60173.0;-0.11709355201771916;-0.23144770500496747;0
Have Mortgage;-0.28146744264526663;< 1 year;-0.11095342154390785;7.0;9.0;81598.0;-0.3409788778582933;-0.08348426679666114;0.0;take a trip;Short Term;128788.0;42921.0;-0.20195038462923914;-0.25022065049980674;1
Home Mortgage;-0.4280781378414016;6 years;-0.11095342154390785;6.0;16.5;655292.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;109384.0;294291.0;-0.14325494705210082;-0.2217135851187545;0
Rent;0.7070185735358328;3 years;-0.11095342154390785;18.0;16.4;1120218.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;116314.0;697528.0;2.597989689050479;-0.21893240800840794;0
Home Mortgage;1.6040831920102825;6 years;-0.11095342154390785;13.0;17.2;1211430.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;381106.0;636101.0;2.7578928311356257;-0.22379946795151442;0
Home Mortgage;-0.031282656391749215;9 years;-0.11095342154390785;17.0;18.0;9339924.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;592240.0;959899.0;-0.12589786765428992;-0.21962770228599457;0
Home Mortgage;0.8055959993519015;5 years;-0.11095342154390785;9.0;18.0;769604.0;-0.3409788778582933;1.2087716552676697;0.0;debt consolidation;Short Term;390258.0;429381.0;0.07324736698242937;-0.2217135851187545;0
Home Mortgage;0.2752464353969843;7 years;-0.11095342154390785;11.0;14.8;715462.0;-0.3409788778582933;-0.9676593713669929;0.0;debt consolidation;Short Term;210826.0;285475.0;-0.014041133757286325;4.433281603323806;1
Home Mortgage;0.06578823719075765;10+ years;-0.11095342154390785;18.0;32.0;2672516.0;-0.3409788778582933;-0.7636189626199932;0.0;debt consolidation;Long Term;741774.0;678585.0;-0.02712183127447715;-0.23283829356014074;0
Home Mortgage;-0.37479711451442804;10+ years;-0.11095342154390785;13.0;19.4;551320.0;-0.3409788778582933;-1.1716997801139926;0.0;debt consolidation;Short Term;100144.0;167599.0;-0.47513572123826286;-0.22727593933944762;0
Rent;-0.02794317660735361;10+ years;-0.11095342154390785;6.0;12.9;132418.0;1.6647792271904904;-0.08348426679666114;1.0;other;Short Term;176616.0;97546.0;-0.34189707793815893;-0.27177477310499265;0
Rent;-0.9566700808571632;10+ years;-0.11095342154390785;6.0;16.9;0.0;-0.3409788778582933;-1.3077267192786588;0.0;debt consolidation;Short Term;165924.0;0.0;-0.7792619385129496;-0.22658064506186099;0
Home Mortgage;0.41864319516152043;10+ years;-0.11095342154390785;12.0;12.9;384736.0;-0.3409788778582933;-1.3077267192786588;0.0;debt consolidation;Short Term;276562.0;275462.0;0.6329502895929983;-0.28568065865672543;0
Home Mortgage;-0.20734605675401982;10+ years;-0.11095342154390785;18.0;17.9;3028014.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;311168.0;2327443.0;3.136143001007727;-0.23144770500496747;0
Rent;-0.3647284574201225;3 years;-0.11095342154390785;5.0;6.1;249810.0;-0.3409788778582933;-0.08348426679666114;0.0;business loan;Short Term;337502.0;119529.0;-0.2598911665803857;4.13430506396155;1
Home Mortgage;-0.6864735247678315;9 years;-0.11095342154390785;8.0;20.5;657360.0;-0.3409788778582933;0.3245965506973381;0.0;debt consolidation;Short Term;199936.0;250933.0;-0.3982446980122117;-0.2251900565066877;0
Rent;-0.7502500559886197;5 years;-0.11095342154390785;13.0;11.4;383548.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;210518.0;276583.0;-0.5669521557339292;4.349846290013409;1
Rent;-0.6405996182558708;6 years;-0.11095342154390785;6.0;14.8;427372.0;-0.3409788778582933;-0.08348426679666114;0.0;business loan;Short Term;99999999.0;1102.0;-1.4951785757038165;-0.21754181945323464;0
Rent;-0.10994874785424119;;-0.11095342154390785;17.0;20.6;613954.0;1.6647792271904904;0.1885696115326717;1.0;debt consolidation;Short Term;196130.0;181336.0;-0.17302191896622096;-0.24535359055670028;1
Rent;-0.20734605675401982;1 year;-0.11095342154390785;9.0;8.9;61358.0;-0.3409788778582933;-0.08348426679666114;0.0;wedding;Short Term;32824.0;14041.0;-0.8750193523887952;-0.23144770500496747;1
Own Home;-1.3059344703379367;1 year;-0.11095342154390785;9.0;39.6;644204.0;-0.3409788778582933;-2.259915293431324;;educational expenses;Short Term;99999999.0;224770.0;-1.1729406234053272;-0.22936182217220755;0
Rent;-0.48238862486130907;10+ years;-0.11095342154390785;10.0;16.3;796312.0;-0.3409788778582933;0.052542672368005285;0.0;other;Long Term;333564.0;320473.0;-0.1399847726728031;-0.3107112526498445;0
Home Mortgage;-0.8149305065495451;9 years;-0.11095342154390785;7.0;8.5;576378.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;299376.0;210064.0;-0.9860375800346968;-0.2321429992825541;0
Rent;0.24481448427903338;10+ years;-0.11095342154390785;7.0;18.8;593472.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;405944.0;432060.0;0.1003311188930232;-0.23631476494807396;0
Rent;-0.1723945089353831;3 years;-0.11095342154390785;10.0;31.3;520740.0;-0.3409788778582933;-0.21951120596132756;0.0;debt consolidation;Short Term;99999999.0;332804.0;-0.5170610337933617;-0.2203229965635812;0
Rent;-0.20734605675401982;1 year;-0.11095342154390785;16.0;17.6;1158630.0;-0.3409788778582933;2.569041046914334;0.0;home improvements;Short Term;343772.0;218139.0;-1.0329100794712973;-0.23144770500496747;0
Home Mortgage;1.4928508954322934;10+ years;-0.11095342154390785;10.0;22.4;531454.0;-0.3409788778582933;-2.055874884684324;0.0;debt consolidation;Short Term;437316.0;383249.0;2.6670826041412816;-0.2321429992825541;0
Rent;-0.20734605675401982;3 years;-0.11095342154390785;14.0;11.9;300740.0;-0.3409788778582933;2.7050679860790003;0.0;debt consolidation;Short Term;90178.0;157149.0;-0.33460207355357174;-0.23144770500496747;0
Rent;0.08592555137936875;;-0.11095342154390785;7.0;23.9;351516.0;-0.3409788778582933;1.276785124850003;0.0;buy house;Short Term;99999999.0;10925.0;-0.7177155796820646;-0.22240887939634113;0
Home Mortgage;1.9900818591194076;3 years;-0.11095342154390785;11.0;16.7;518188.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;393382.0;362938.0;0.6602017427538125;-0.22449476222910106;0
Rent;-0.25603215676862945;3 years;-0.11095342154390785;14.0;14.6;602954.0;-0.3409788778582933;0.7326773681913373;0.0;debt consolidation;Long Term;99999999.0;216106.0;-0.5078374650312399;-0.22936182217220755;0
Home Mortgage;-0.20734605675401982;2 years;-0.11095342154390785;9.0;13.8;259842.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;151514.0;160455.0;-0.40277263176816236;-0.23144770500496747;0
Home Mortgage;0.271379669330842;10+ years;-0.11095342154390785;14.0;18.0;283448.0;3.6705373322392743;1.8889063510910018;2.0;debt consolidation;Short Term;243694.0;194598.0;-0.25226075969535766;-0.2251900565066877;0
Home Mortgage;-0.558167196209474;10+ years;-0.11095342154390785;13.0;15.2;329252.0;-0.3409788778582933;2.6370545164966672;0.0;debt consolidation;Short Term;222442.0;31559.0;-0.7218242603124642;-0.22658064506186099;0
Rent;-0.38946069492109747;< 1 year;-0.11095342154390785;11.0;8.0;141020.0;-0.3409788778582933;-0.08348426679666114;0.0;buy house;Long Term;379698.0;95247.0;-0.6570915777273917;-0.305844192706738;1
Home Mortgage;0.9459545857787545;3 years;-0.11095342154390785;19.0;16.0;1034616.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;644556.0;455696.0;2.400689168166184;-0.22797123361703425;0
Home Mortgage;-0.3770318039942116;;-0.11095342154390785;10.0;23.8;147950.0;-0.3409788778582933;2.0249332902556683;0.0;debt consolidation;Short Term;224246.0;95456.0;-0.3802168136135192;4.3985168894444735;1
Home Mortgage;0.03277007240519207;5 years;-0.11095342154390785;10.0;12.2;325490.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;223322.0;168663.0;-0.27154640347070313;-0.23631476494807396;0
Home Mortgage;0.4127677194506289;10+ years;-0.11095342154390785;9.0;17.0;372878.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Short Term;460438.0;285323.0;0.5584070838700327;-0.23631476494807396;0
Rent;-1.0028704026863957;3 years;-0.11095342154390785;12.0;6.0;288772.0;-0.3409788778582933;-0.08348426679666114;0.0;other;Short Term;109318.0;82308.0;-0.5620888194775377;-0.2759465387705125;0
Home Mortgage;-0.20734605675401982;5 years;-0.11095342154390785;8.0;6.4;405284.0;-0.3409788778582933;-0.6956054930376601;0.0;debt consolidation;Short Term;182336.0;158555.0;0.2328151065671354;-0.23144770500496747;0
Rent;-1.2157182984181367;2 years;-0.11095342154390785;10.0;9.8;251900.0;-0.3409788778582933;-1.9198479455196578;0.0;debt consolidation;Short Term;99999999.0;41762.0;-0.8984136767945403;-0.22101829084116786;0
Rent;-0.14264049732253503;< 1 year;-0.11095342154390785;10.0;16.7;366498.0;-0.3409788778582933;1.8208928815086687;0.0;debt consolidation;Short Term;325292.0;298490.0;0.5908572757876791;-0.24813476766704684;0
Rent;-1.097505735824644;6 years;-0.11095342154390785;9.0;10.3;330176.0;-0.3409788778582933;-1.1036863105316592;0.0;debt consolidation;Short Term;176286.0;124602.0;-0.9514072718641852;-0.2571735932756732;1
Home Mortgage;1.3925660664181878;10+ years;-0.11095342154390785;11.0;21.7;1046694.0;-0.3409788778582933;-0.08348426679666114;0.0;debt consolidation;Long Term;749276.0;854240.0;0.5921150351643321;-0.2676030074394728;0
